B2	3.5000000000e+01 6.0000000000e+01
B3	4.4637004876e+01 5.9902496072e+01
B6	6.0557686957e+01 5.9958594825e+01
B7	6.5570019709e+01 6.0000000000e+01
1_1	5.7287549615e+01 5.9560903031e+01
1_2	5.7455693635e+01 5.4897457460e+01
1_3	5.7749487983e+01 6.1431374347e+01
1_4	5.7884153581e+01 6.4828273695e+01
cmt1	5.7624552506e+01 5.8266919240e+01
2_1	5.4103691511e+01 5.9633412143e+01
2_2	5.4050121248e+01 5.4991938753e+01
2_3	5.4314532788e+01 5.8306485260e+01
2_4	5.4727341190e+01 6.4819244292e+01
cmt2	5.4523266314e+01 6.1532437416e+01
3_1	5.0919833407e+01 5.9705921256e+01
3_2	5.0767298274e+01 5.4902701291e+01
3_3	5.0995611800e+01 6.1290613856e+01
3_4	5.1162769331e+01 6.4629709446e+01
cmt3	5.0880918842e+01 5.8032718442e+01
4_1	4.7735975302e+01 5.9778430369e+01
4_2	4.7423647339e+01 5.4826915929e+01
4_3	4.7614187909e+01 5.8071999640e+01
4_4	4.7939309944e+01 6.4806524543e+01
cmt4	4.7740765420e+01 6.1450910579e+01
